name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AISHANI,1,0,0,0,0,0
AISHE,1,0,0,0,0,0
AISHWARYA,1,0,0,0,0,0
AISUKE,0,0,0,1,0,0
AITA,0,0,0,1,0,0
AITO,0,0,0,1,0,0
AIWEN,0,1,0,0,0,0
AIWU,0,1,0,0,0,0
AIXIA,0,1,0,0,0,0
AIXING,0,1,0,0,0,0
AIYA,1,0,0,0,0,0
AIYAR,1,0,0,0,0,0
AIYING,0,1,0,0,0,0
AIYSHA,1,0,0,0,0,0
AIZA,0,0,1,0,0,0
AIZAN,0,0,0,1,0,0
AIZAZ,0.7373979902095303,0.26260200979046955,0,0,0,0
AIZO,0,0,0,1,0,0
AIZU,0,0,0,1,0,0
AJ,0.12284566734796872,0,0.8771543326520314,0,0,0
AJA,0,0,0,1,0,0
AJAI,1,0,0,0,0,0
AJAIB,1,0,0,0,0,0
AJAY,1,0,0,0,0,0
AJAYA,1,0,0,0,0,0
AJAYKUMAR,1,0,0,0,0,0
AJAZ,1,0,0,0,0,0
AJEET,1,0,0,0,0,0
AJESH,1,0,0,0,0,0
AJI,1,0,0,0,0,0
AJIA,0,0,0,1,0,0
AJIN,0.9603502445352656,0,0,0.03964975546473434,0,0
AJINKYA,1,0,0,0,0,0
AJIT,1,0,0,0,0,0
AJITH,1,0,0,0,0,0
AJITHA,1,0,0,0,0,0
AJMAL,1,0,0,0,0,0
AJMER,1,0,0,0,0,0
AJOY,1,0,0,0,0,0
AJU,0.9603502445352656,0,0,0.03964975546473434,0,0
AKA,0,0,0,1,0,0
AKAASH,1,0,0,0,0,0
AKABANE,0,0,0,1,0,0
AKAGAWA,0,0,0,1,0,0
AKAGI,0,0,0,1,0,0
AKAI,0,0,0,1,0,0
AKAMA,0,0,0,1,0,0
AKAMATSU,0,0,0,1,0,0
AKANE,0,0,0,1,0,0
AKANKSHA,1,0,0,0,0,0
AKANSHA,1,0,0,0,0,0
AKANUMA,0,0,0,1,0,0
AKARI,0,0,0,1,0,0
AKASAKA,0,0,0,1,0,0
AKASH,1,0,0,0,0,0
AKASHDEEP,1,0,0,0,0,0
AKASHI,0,0,0,1,0,0
AKATSUKI,0,0,0,1,0,0
AKBAR,1,0,0,0,0,0
AKBARALI,1,0,0,0,0,0
AKBER,1,0,0,0,0,0
AKEHIRO,0,0,0,1,0,0
AKEMI,0,0.2140742385882323,0,0.7859257614117676,0,0
AKENO,0,0,0,1,0,0
AKEO,0,0,0,1,0,0
AKHIL,1,0,0,0,0,0
AKHILA,1,0,0,0,0,0
AKHILESH,1,0,0,0,0,0
AKHLAQ,1,0,0,0,0,0
AKHTAR,1,0,0,0,0,0
AKI,0.18618665560779926,0.09945712615425197,0,0.6764599435190624,0.03789627471888645,0
AKIBA,0,0,0,1,0,0
AKICHIKA,0,0,0,1,0,0
AKIE,0,0,0,1,0,0
AKIFUMI,0,0,0,1,0,0
AKIHA,0,0,0,1,0,0
AKIHARU,0,0,0,1,0,0
AKIHIDE,0,0,0,1,0,0
AKIHIKO,0,0,0,0.8871359618145684,0.11286403818543167,0
AKIHIRA,0,0,0,1,0,0
AKIHIRO,0,0,0,1,0,0
AKIHISA,0,0,0,1,0,0
AKIHITO,0,0,0,1,0,0
AKIHO,0,0,0,1,0,0
AKIJI,0,0,0,1,0,0
AKIKA,0,0,0,1,0,0
AKIKAZU,0,0,0,1,0,0
AKIKO,0,0.04992115526511026,0.16682204846314844,0.7832567962717413,0,0
AKILAN,1,0,0,0,0,0
AKIMASA,0,0,0,1,0,0
AKIME,0,0,0,1,0,0
AKIMI,0,0,0,1,0,0
AKIMICHI,0,0,0,1,0,0
AKIMITSU,0,0,0,1,0,0
AKIMOTO,0,0,0,1,0,0
AKINA,0,0.6831813398687338,0,0.31681866013126625,0,0
AKINARI,0,0,0,1,0,0
AKINO,0,0,0,1,0,0
AKINOBU,0,0,0,1,0,0
AKINORI,0,0,0,1,0,0
AKIO,0,0.21780431835213523,0,0.740700554036642,0.04149512761122269,0
AKIOMI,0,0,0,1,0,0
AKIRA,0.01627541502983083,0.03477598328517131,0,0.8829544489785889,0.019876105420796646,0.04611804728561237
AKIRO,0,0,0,1,0,0
AKISHI,0,0,0,1,0,0
AKISHIGE,0,0,0,1,0,0
AKITADA,0,0,0,1,0,0
AKITAKA,0,0,0,1,0,0
AKITAKE,0,0,0,1,0,0
AKITERU,0,0,0,1,0,0
AKITO,0,0,0,1,0,0
AKITOMO,0,0,0,1,0,0
AKITOSHI,0,0,0,1,0,0
AKITSU,0,0,0,1,0,0
AKITSUGU,0,0,0,1,0,0
AKITSUNE,0,0,0,1,0,0
AKIYA,0,0,0,1,0,0
AKIYAMA,0,0,0,1,0,0
AKIYO,0,0,0,0.5489534441173327,0.45104655588266734,0
AKIYOSHI,0,0,0,1,0,0
AKIYUKI,0,0,0,1,0,0
AKIZO,0,0,0,1,0,0
AKIZUKI,0,0,0,1,0,0
AKMAL,1,0,0,0,0,0
AKO,0,0.6179246529941701,0,0.38207534700582985,0,0
AKON,1,0,0,0,0,0
AKRAM,1,0,0,0,0,0
AKRITI,1,0,0,0,0,0
AKSHARA,1,0,0,0,0,0
AKSHAT,1,0,0,0,0,0
AKSHATA,1,0,0,0,0,0
AKSHAY,1,0,0,0,0,0
AKSHAYA,1,0,0,0,0,0
AKSHAYKUMAR,1,0,0,0,0,0
AKU,0,0,0,1,0,0
AKUA,0,0,0,1,0,0
AKUL,1,0,0,0,0,0
AKURI,0,0,0,1,0,0
AKUTSU,0,0,0,1,0,0
AKUZAWA,0,0,0,1,0,0
AL,0.17298523482036365,0,0.8234437647562668,0.0035710004233696006,0,0
ALAIN,0.057650128709257044,0.12318210679767448,0,0.002380187352311924,0,0.8167875771407566
ALAKA,1,0,0,0,0,0
ALAM,1,0,0,0,0,0
ALAMGIR,1,0,0,0,0,0
ALAN,0.26047481931062894,0.2996869139111983,0.42920010230503464,0.002481729880680178,0.00815643459245803,0
ALANKRITA,1,0,0,0,0,0
ALANNA,0.48347498481687445,0.5165250151831255,0,0,0,0
ALASDAIR,0.48347498481687445,0.5165250151831255,0,0,0,0
ALASTAIR,0.48347498481687445,0.5165250151831255,0,0,0,0
ALBANO,0,0,1,0,0,0
ALBEE,0,0,1,0,0,0
ALBEN,1,0,0,0,0,0
ALBER,1,0,0,0,0,0
ALBERT,0.1297461123973331,0.2079232063103576,0.5211143704835554,0.0033479983333734678,0,0.1378683124753804
ALBERTA,0,0,1,0,0,0
ALBERTINA,0.40396897078268457,0.4315840225861361,0,0,0.16444700663117928,0
ALBERTO,0.015208591401022365,0,0.9773444937898009,0.0012558270973428269,0.006191087711833789,0
ALBERTUS,0,1,0,0,0,0
ALBINO,0.12284566734796872,0,0.8771543326520314,0,0,0
ALBION,1,0,0,0,0,0
ALDEN,0,0,1,0,0,0
ALDIN,0,0,1,0,0,0
ALE,1,0,0,0,0,0
ALEAH,0,0,1,0,0,0
ALEC,0.7373979902095303,0.26260200979046955,0,0,0,0
ALEEM,0.21881131293513548,0,0.7811886870648646,0,0,0
ALEIXO,1,0,0,0,0,0
ALEJANDRO,0,0,1,0,0,0
ALEJO,0,0,1,0,0,0
ALEKS,0,0,0,0,0,1
ALEKSANDER,0,1,0,0,0,0
ALEKSANDR,0,1,0,0,0,0
ALEN,1,0,0,0,0,0
ALENA,1,0,0,0,0,0
ALESH,1,0,0,0,0,0
ALESIA,1,0,0,0,0,0
ALESSANDRA,0,0,0.9885677652501816,0.01143223474981835,0,0
ALESSANDRO,0.17606273208614628,0.18809826406721925,0.628569943091569,0.0072690607550653765,0,0
ALEX,0.07768650627696842,0.21786739929215623,0.6587117009141349,0.0024055684327039047,0.015812245911028484,0.02751657917300813
ALEXA,0,0,1,0,0,0
ALEXANDER,0.47647875736627426,0.1566309323842405,0.34894348704163786,0.003026502581695019,0.0149203206261524,0
ALEXANDR,0,1,0,0,0,0
ALEXANDRA,0.09359709551279126,0.19999066218142664,0.6683108946784388,0,0.03810134762734318,0
ALEXANDRE,0.3106272854481769,0.6637231226893154,0,0.025649591862507558,0,0
ALEXANDREA,0,0,1,0,0,0
ALEXANDROS,1,0,0,0,0,0
ALEXEI,0,0,1,0,0,0
ALEXEY,0,0.9130270379007462,0,0,0.08697296209925377,0
ALEXIS,0.1410760559596384,0.050239973962753814,0.6715497930040398,0.00388304937187142,0,0.13325112770169661
ALEYNA,0,0,0,0,1,0
ALFIE,0,0,1,0,0,0
ALFONSA,1,0,0,0,0,0
ALFONSO,0,0.04468992234751758,0.8960446951293666,0,0,0.05926538252311585
ALFORD,0,0,1,0,0,0
ALFRED,0.4990674598406715,0.23697039177436224,0.26396214838496623,0,0,0
ALFREDO,0.011395764376755936,0.01217477129650605,0.976429464326738,0,0,0
ALGERNON,1,0,0,0,0,0
ALI,0.8827133471266776,0.019444433979964763,0.09746650364513575,3.757152482218308e-4,0,0
ALIA,1,0,0,0,0,0
ALIAKBAR,1,0,0,0,0,0
ALIASGHAR,1,0,0,0,0,0
ALICE,0.1543169234288253,0.2308122968268767,0.5509341961719747,0.007645495979626468,0.012563814533198284,0.04372727305949852
ALICIA,0,0,0.9776522213458223,0.0037686675245367915,0.018579111129640943,0
ALII,1,0,0,0,0,0
ALIKHAN,1,0,0,0,0,0
ALINA,0,0.9872821545353818,0,0.012717845464618219,0,0
ALISA,0,0,0,1,0,0
ALISHA,0.6914345664403064,0,0.3085654335596935,0,0,0
ALISON,0.4834749848168744,0.5165250151831255,0,0,0,0
ALISTAIR,1,0,0,0,0,0
ALITA,0,0,1,0,0,0
ALIVIA,1,0,0,0,0,0
ALIYA,1,0,0,0,0,0
ALIZA,0,1,0,0,0,0
ALJON,0,0,1,0,0,0
ALKA,1,0,0,0,0,0
ALLA,1,0,0,0,0,0
ALLADI,1,0,0,0,0,0
ALLAH,1,0,0,0,0,0
ALLAHABADI,1,0,0,0,0,0
ALLAM,1,0,0,0,0,0
ALLAN,0.13467109167267613,0.04110774813616392,0.82422116019116,0,0,0
ALLANA,0,0,1,0,0,0
ALLAUDDIN,1,0,0,0,0,0
ALLEN,0.05049874999951818,0.3776556781748871,0.5408639756514975,0.010424650278110712,0.020556945895986584,0
ALLI,0,0,1,0,0,0
ALLISHA,1,0,0,0,0,0
ALLISON,1,0,0,0,0,0
ALLMAN,1,0,0,0,0,0
ALLWYN,1,0,0,0,0,0
ALLY,0,1,0,0,0,0
ALLYSON,0,0,1,0,0,0
ALMA,0,0,1,0,0,0
ALMAN,0,1,0,0,0,0
ALMAS,1,0,0,0,0,0
ALMIR,0,0,0,0,1,0
ALMOND,0,0.3744119045646564,0.6255880954353435,0,0,0
ALODIA,0,0,1,0,0,0
ALOISIO,0,0.2738006012663627,0,0,0,0.7261993987336374
ALOK,1,0,0,0,0,0
ALOKE,1,0,0,0,0,0
ALONA,0,0,1,0,0,0
ALONSO,0,0,0,1,0,0
ALONTE,0,0,1,0,0,0
ALONZO,0,0,1,0,0,0
ALOYS,0,1,0,0,0,0
ALOYSIUS,0.3698049660470271,0.296313441802867,0.3300645794100027,0.003817012740103117,0,0
ALPANA,1,0,0,0,0,0
ALPESH,1,0,0,0,0,0
ALPHONS,1,0,0,0,0,0
ALPHONSE,0.4694197694326959,0.5015089945663305,0,0.029071236000973746,0,0
ALPHONSINE,1,0,0,0,0,0
ALPHONSUS,1,0,0,0,0,0
ALROY,0,1,0,0,0,0
ALTAF,1,0,0,0,0,0
ALTAMASH,1,0,0,0,0,0
ALTHEA,0,0,1,0,0,0
ALVA,1,0,0,0,0,0
ALVAR,0,0,1,0,0,0
ALVARADO,0,0,1,0,0,0
ALVARO,0,0,1,0,0,0
ALVEY,0,0,0,1,0,0
ALVI,1,0,0,0,0,0
ALVIN,0.021749300568054006,0.04647213675549966,0.9317785626764463,0,0,0
ALVIRA,1,0,0,0,0,0
ALVITO,1,0,0,0,0,0
ALWIN,1,0,0,0,0,0
ALWYN,1,0,0,0,0,0
ALY,1,0,0,0,0,0
ALYSON,0,1,0,0,0,0
ALYSSA,0.0654424973009082,0,0.9345575026990918,0,0,0
AM,0,0,0,0.04826358605282661,0.9517364139471733,0
AMA,0.1773519139234832,0.18947557352275704,0.6331725125537597,0,0,0
AMAAL,1,0,0,0,0,0
AMADA,0,0,1,0,0,0
AMADEO,0,0,1,0,0,0
AMADEUS,0,0,0,0,1,0
AMADO,0,0,1,0,0,0
AMADOR,0,0,1,0,0,0
AMAGI,0,0,0,1,0,0
AMAL,1,0,0,0,0,0
AMALA,1,0,0,0,0,0
AMALENDU,1,0,0,0,0,0
AMALIA,0,0,1,0,0,0
AMAMI,0,0,0,1,0,0
AMAN,1,0,0,0,0,0
AMANCIO,1,0,0,0,0,0
AMANDA,0,0.4002400069633624,0.33437155792945683,0,0,0.2653884351071807
AMANDEEP,1,0,0,0,0,0
AMANDIP,1,0,0,0,0,0
AMANDO,0,0,1,0,0,0
AMANE,0,0,0,1,0,0
AMANI,0,0,1,0,0,0
AMANPREET,1,0,0,0,0,0
AMANULLAH,1,0,0,0,0,0
AMAR,1,0,0,0,0,0
AMARA,1,0,0,0,0,0
AMARDEEP,1,0,0,0,0,0
AMARENDRA,1,0,0,0,0,0
AMARENDRANATH,1,0,0,0,0,0
AMARESH,1,0,0,0,0,0
AMARI,0,0,0,1,0,0
AMARJEET,1,0,0,0,0,0
AMARJIT,1,0,0,0,0,0
AMARNATH,1,0,0,0,0,0
AMARTYA,1,0,0,0,0,0
AMATONG,0,0,1,0,0,0
AMATSU,0,0,0,1,0,0
AMBA,1,0,0,0,0,0
AMBALAL,1,0,0,0,0,0
AMBALAM,1,0,0,0,0,0
AMBANI,1,0,0,0,0,0
AMBAR,1,0,0,0,0,0
AMBAREESH,1,0,0,0,0,0
AMBARISH,1,0,0,0,0,0
AMBER,0.48347498481687445,0.5165250151831255,0,0,0,0
AMBETH,0.21881131293513548,0,0.7811886870648646,0,0,0
AMBI,1,0,0,0,0,0
AMBICA,1,0,0,0,0,0
AMBIKA,1,0,0,0,0,0
AMBILI,1,0,0,0,0,0
AMBROSE,0.6308891696286401,0.33700816811104756,0,0,0.03210266226031238,0
AMBROSIO,0,0,1,0,0,0
AME,0,0,0,1,0,0
AMED,1,0,0,0,0,0
AMEDEE,0,0,0,0,0,1
AMEE,1,0,0,0,0,0
AMEEL,1,0,0,0,0,0
AMEEN,1,0,0,0,0,0
AMEER,1,0,0,0,0,0
AMEERA,1,0,0,0,0,0
AMEET,1,0,0,0,0,0
AMEETA,1,0,0,0,0,0
AMEKO,0,0,0,1,0,0
AMELIA,0.10859349674344047,0.11601687639628333,0.7753896268602761,0,0,0
AMELIE,1,0,0,0,0,0
AMELITA,0,0,1,0,0,0
AMELYN,0,0,1,0,0,0
AMERI,0,0,0,1,0,0
AMEY,1,0,0,0,0,0
AMEYA,1,0,0,0,0,0
AMI,0.5650606923065806,0,0,0.39660198224871046,0.0383373254447088,0
AMIGO,0,0,0,1,0,0
AMII,0,0,0,1,0,0
AMIKA,0.8582607571029379,0,0,0.1417392428970621,0,0
AMIN,0.46084044495883936,0.12308579828567731,0.4113171038950158,0.004756652860467503,0,0
AMINA,0.8582607571029379,0,0,0.1417392428970621,0,0
AMINUL,1,0,0,0,0,0
AMIR,0.8009120014188336,0,0.17871087949310677,0,0.020377119088059583,0
AMIRA,0,0,0,0,1,0
AMISH,1,0,0,0,0,0
AMISHA,1,0,0,0,0,0
AMIT,1,0,0,0,0,0
AMITA,1,0,0,0,0,0
AMITABH,1,0,0,0,0,0
AMITABHA,1,0,0,0,0,0
AMITAV,1,0,0,0,0,0
AMITAVA,1,0,0,0,0,0
AMITKUMAR,1,0,0,0,0,0
AMIYA,1,0,0,0,0,0
AMJAD,1,0,0,0,0,0
AMJED,1,0,0,0,0,0
AMLAN,1,0,0,0,0,0
AMMA,1,0,0,0,0,0
AMMAR,1,0,0,0,0,0
AMMU,1,0,0,0,0,0
AMNA,1,0,0,0,0,0
AMO,0,0,0,1,0,0
AMOD,1,0,0,0,0,0
AMOL,1,0,0,0,0,0
