name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AKU,0,0,0,1,0,0
AKUA,0,0,0,1,0,0
AKUI,0,0,0,1,0,0
AKULA,1,0,0,0,0,0
AKUNE,0,0,0,1,0,0
AKUTA,0,0,0,1,0,0
AKUTAGAWA,0,0,0,1,0,0
AKUTO,0,0,0,1,0,0
AKUTSU,0,0,0,1,0,0
AKUZAWA,0,0,0,1,0,0
AL,0.4631121607338244,0,0.531008820680428,0.005879018585747656,0,0
ALA,1,0,0,0,0,0
ALAGAPPAN,1,0,0,0,0,0
ALAI,0,1,0,0,0,0
ALAK,0,1,0,0,0,0
ALAM,0.984870171290282,0,0,0,0.015129828709718046,0
ALANES,0,0,1,0,0,0
ALANO,0,0,1,0,0,0
ALAPATI,1,0,0,0,0,0
ALAPATT,1,0,0,0,0,0
ALARCON,0,0,1,0,0,0
ALAS,0,0,1,0,0,0
ALAVI,1,0,0,0,0,0
ALAWI,0,0,1,0,0,0
ALAYA,1,0,0,0,0,0
ALBA,0,0,1,0,0,0
ALBAN,1,0,0,0,0,0
ALBANI,0,0,1,0,0,0
ALBANO,0.0677538244033893,0,0.9322461755966107,0,0,0
ALBERO,0,0,1,0,0,0
ALBERT,0,0,1,0,0,0
ALBERTO,0,0.06637536173376923,0.9336246382662308,0,0,0
ALBINO,0,0,1,0,0,0
ALBO,0,0,1,0,0,0
ALBONE,0,1,0,0,0,0
ALBRECHT,0,0,0,1,0,0
ALBUQUERQUE,1,0,0,0,0,0
ALCALA,0,0,1,0,0,0
ALCANTARA,0,0,1,0,0,0
ALCARAZ,0,0,1,0,0,0
ALCASID,0,0,1,0,0,0
ALCAZAREN,0,0,1,0,0,0
ALCOCK,1,0,0,0,0,0
ALDANA,0,0,1,0,0,0
ALDAS,1,0,0,0,0,0
ALDEA,0,0,1,0,0,0
ALDECOA,0,0,1,0,0,0
ALDIS,1,0,0,0,0,0
ALDO,0,0,1,0,0,0
ALDRIDGE,1,0,0,0,0,0
ALE,1,0,0,0,0,0
ALECK,0,0,1,0,0,0
ALEE,0,0,0,1,0,0
ALEEM,1,0,0,0,0,0
ALEGRE,0,0,1,0,0,0
ALEJANDRINO,0,0,1,0,0,0
ALEJANDRO,0,0,1,0,0,0
ALEJO,0,0,1,0,0,0
ALEMAO,1,0,0,0,0,0
ALESNA,0,0,1,0,0,0
ALEX,0.24644955924938702,0,0.753550440750613,0,0,0
ALEXA,0,0,0,1,0,0
ALEXANDER,0.6913974926919176,0.09017744573123859,0.2114034559196149,0.007021605657228833,0,0
ALEXANDRA,0,0,0,0,0,1
ALEXANDRE,0,0,0,1,0,0
ALEXIS,0,0,0,1,0,0
ALF,0.5055079102021306,0.4944920897978694,0,0,0,0
ALFAFARA,0,0,1,0,0,0
ALFAR,0,0,1,0,0,0
ALFONSO,0,0,1,0,0,0
ALFONZO,0,0,1,0,0,0
ALFRED,1,0,0,0,0,0
ALGER,0,0,1,0,0,0
ALI,0.906716846036179,0.02217395113916624,0.06931001226453477,0,0.0017991905601200855,0
ALIA,1,0,0,0,0,0
ALIAS,1,0,0,0,0,0
ALICANTE,0,0,1,0,0,0
ALICDAN,0,0,1,0,0,0
ALICE,0,0,0,1,0,0
ALIG,1,0,0,0,0,0
ALIMO,0,0,0,1,0,0
ALIMOHAMED,0,0,1,0,0,0
ALIMUDDIN,1,0,0,0,0,0
ALINDOGAN,0,0,1,0,0,0
ALIP,0,0,1,0,0,0
ALISA,0,0,0,1,0,0
ALIX,0,0,1,0,0,0
ALKA,0.8363709753662368,0.16362902463376314,0,0,0,0
ALLA,0,1,0,0,0,0
ALLADO,0,0,1,0,0,0
ALLAUDDIN,1,0,0,0,0,0
ALLEN,0.8048896100200403,0.1312249644640425,0,0,0.06388542551591728,0
ALLES,1,0,0,0,0,0
ALLEY,0,1,0,0,0,0
ALLIE,0,0,1,0,0,0
ALLIER,0,0,0,1,0,0
ALLU,1,0,0,0,0,0
ALLY,1,0,0,0,0,0
ALMARIO,0,0,1,0,0,0
ALMAS,0,1,0,0,0,0
ALMAZAN,0,0,1,0,0,0
ALMEDA,0,0,1,0,0,0
ALMEDILLA,0,0,1,0,0,0
ALMEIDA,1,0,0,0,0,0
ALMENDRAS,0,0,1,0,0,0
ALMOND,0,0,0,0,1,0
ALMONTE,0,0,1,0,0,0
ALO,0.17900493530251463,0,0.8209950646974853,0,0,0
ALOIS,1,0,0,0,0,0
ALOMARI,1,0,0,0,0,0
ALONSO,0,0,1,0,0,0
ALONTO,0,0,1,0,0,0
ALONZO,0,0,1,0,0,0
ALPEROVICH,0,1,0,0,0,0
ALPTEKIN,0,1,0,0,0,0
ALSING,1,0,0,0,0,0
ALTAF,1,0,0,0,0,0
ALTAMIRANO,0,0,1,0,0,0
ALTAN,0,1,0,0,0,0
ALTER,1,0,0,0,0,0
ALURI,1,0,0,0,0,0
ALVA,1,0,0,0,0,0
ALVARADO,0,0,1,0,0,0
ALVARES,1,0,0,0,0,0
ALVAREZ,0,0,0.999417633339202,5.823666607980151e-4,0,0
ALVARO,0,0,1,0,0,0
ALVENDIA,0,0,1,0,0,0
ALVERO,0,0,1,0,0,0
ALVI,1,0,0,0,0,0
ALVIAR,0,0,1,0,0,0
ALVIN,0,0,1,0,0,0
ALVIOLA,0,0,1,0,0,0
ALY,1,0,0,0,0,0
ALZONA,0,0,1,0,0,0
AMA,0,0,0,1,0,0
AMACHI,0,0,0,1,0,0
AMADA,0,0,0,1,0,0
AMADOR,0,0,1,0,0,0
AMADORI,0,0,0,1,0,0
AMAGAI,0,0,0,1,0,0
AMAGASA,0,0,0,1,0,0
AMAGI,0,0,0,1,0,0
AMAHA,0,0,0,1,0,0
AMAIKE,0,0,0,1,0,0
AMAKASU,0,0,0,1,0,0
AMAKAWA,0,0,0,1,0,0
AMAKI,0,0,0,1,0,0
AMAKO,0,0,0,1,0,0
AMAL,1,0,0,0,0,0
AMAMIYA,0,0,0,1,0,0
AMAMOTO,0,0,0,1,0,0
AMAN,0.9813139342462568,0,0,0.018686065753743226,0,0
AMANE,0,0,0,1,0,0
AMANO,0,0,0.30200189904475466,0.6352817402856406,0.06271636066960477,0
AMANTE,0,0,1,0,0,0
AMANUMA,0,0,0,1,0,0
AMAO,0,0,0,1,0,0
AMAR,1,0,0,0,0,0
AMARA,0,0,0,1,0,0
AMARI,0,0,0,1,0,0
AMARNATH,1,0,0,0,0,0
AMASAKI,0,0,0,1,0,0
AMASAWA,0,0,0,1,0,0
AMASE,0,0,0,1,0,0
AMAT,0.5055079102021306,0.4944920897978694,0,0,0,0
AMATA,0,0,0,1,0,0
AMATE,0,0,0,1,0,0
AMATO,0,0,0,1,0,0
AMATONG,0,0,1,0,0,0
AMATSU,0,0.905945551961981,0,0.094054448038019,0,0
AMATSUKA,0,0,0,1,0,0
AMATYA,1,0,0,0,0,0
AMAY,1,0,0,0,0,0
AMAYA,0,0,0,1,0,0
AMBANI,1,0,0,0,0,0
AMBAR,1,0,0,0,0,0
AMBAT,1,0,0,0,0,0
AMBATI,1,0,0,0,0,0
AMBE,0,0,0,1,0,0
AMBEDKAR,1,0,0,0,0,0
AMBEKAR,1,0,0,0,0,0
AMBO,0,0,0,1,0,0
AMBROSE,1,0,0,0,0,0
AMECHAZURRA,0,0,1,0,0,0
AMEEN,1,0,0,0,0,0
AMEER,1,0,0,0,0,0
AMEMIYA,0,0,0,1,0,0
AMENO,0,0,0,1,0,0
AMENOMIYA,0,0,0,1,0,0
AMER,0,0,1,0,0,0
AMERI,0,0,0,1,0,0
AMERY,1,0,0,0,0,0
AMESTOY,0,0,1,0,0,0
AMET,0,1,0,0,0,0
AMI,0,0,0,1,0,0
AMIDEI,1,0,0,0,0,0
AMIGO,0,0,1,0,0,0
AMIMOTO,0,0,0,1,0,0
AMIN,0.7758629262826965,0.06599614266059357,0.15471510112844467,0.0034258299282653687,0,0
AMINA,0.9516754831554759,0,0,0.048324516844524185,0,0
AMINE,0,0,0,1,0,0
AMINO,0,0,0,1,0,0
AMIR,0.17900493530251463,0,0.8209950646974853,0,0,0
AMIRALI,1,0,0,0,0,0
AMIT,0.805547657404773,0,0.194452342595227,0,0,0
AMJAD,1,0,0,0,0,0
AMLANI,1,0,0,0,0,0
AMMA,0.996109170273507,0,0,0.0038908297264930174,0,0
AMMAL,1,0,0,0,0,0
AMMAN,0,0,1,0,0,0
AMMANN,0,1,0,0,0,0
AMMAR,1,0,0,0,0,0
AMMI,0,0,0,1,0,0
AMO,0,0.7065757698664883,0,0.2934242301335117,0,0
AMON,0.1758088788309709,0,0.8063365493599197,0.017854571809109404,0,0
AMOR,0,0,1,0,0,0
AMORA,0,0,1,0,0,0
AMORANTO,0,0,1,0,0,0
AMOROSO,0,0,1,0,0,0
AMORSOLO,0,0,1,0,0,0
AMOS,0,0,0,1,0,0
AMPIL,0,0,1,0,0,0
AMRIT,1,0,0,0,0,0
AMRITRAJ,1,0,0,0,0,0
AMROHI,1,0,0,0,0,0
AMTE,1,0,0,0,0,0
AMU,0,0,0,1,0,0
AMURAO,0,0,1,0,0,0
AMY,0.15233112557000794,0.14901158835329614,0.698657286076696,0,0,0
AN,0.010054830868826515,0.6688289689262022,0.046115859910363786,0.0056162456374961025,0.09097982384487584,0.17840427081223553
ANA,0,0,0.989049819802618,0.010950180197381941,0,0
ANABUKI,0,0,0,1,0,0
ANACLETO,0,0,1,0,0,0
ANAI,0,0,0,1,0,0
ANAM,1,0,0,0,0,0
ANAMI,0,0,0,1,0,0
ANAN,0,0,0,1,0,0
ANAND,1,0,0,0,0,0
ANANDA,1,0,0,0,0,0
ANANDAN,1,0,0,0,0,0
ANANT,1,0,0,0,0,0
ANANTH,1,0,0,0,0,0
ANANTHA,1,0,0,0,0,0
ANANTHAN,1,0,0,0,0,0
ANAS,1,0,0,0,0,0
ANASTAS,1,0,0,0,0,0
ANAZAWA,0,0,0,1,0,0
ANBE,0,0,0,1,0,0
ANBIL,1,0,0,0,0,0
ANCHETA,0,0,1,0,0,0
ANDA,0,0,0,1,0,0
ANDAL,0.09830061529148186,0,0.9016993847085182,0,0,0
ANDAM,0,0,1,0,0,0
ANDAYA,0,0,1,0,0,0
ANDE,1,0,0,0,0,0
ANDERS,0,0.17578985479854706,0.824210145201453,0,0,0
ANDERSEN,0,0,0,1,0,0
ANDERSON,0.464423311981771,0.12390076097427273,0.3872815994233735,0.004287754990605585,0.020106572629977268,0
ANDERSSON,0,0,0.9059330067560412,0,0.09406699324395887,0
ANDERTON,1,0,0,0,0,0
ANDI,0.5055079102021306,0.4944920897978694,0,0,0,0
ANDO,0,0.0797938434260164,0.187061122929156,0.7331450336448277,0,0
ANDOW,0,0,0,1,0,0
ANDRADE,1,0,0,0,0,0
ANDRE,0.2198465128914352,0,0,0,0,0.7801534871085649
ANDREAE,1,0,0,0,0,0
ANDREI,0,1,0,0,0,0
ANDRES,0,0,1,0,0,0
ANDRESEN,0,1,0,0,0,0
ANDREW,1,0,0,0,0,0
ANDREWS,0.3502771512785797,0.11421468523603683,0.5355081634853834,0,0,0
ANDY,0.17739251250745222,0,0.8135997872727887,0.00900770021975901,0,0
ANEES,1,0,0,0,0,0
ANEESH,1,0,0,0,0,0
ANEHA,0,0,0,1,0,0
ANEMONE,0,0,0,1,0,0
ANG,0,0.057437803627944775,0.9425621963720552,0,0,0
ANGANA,0,0,1,0,0,0
ANGARA,0.0677538244033893,0,0.9322461755966107,0,0,0
ANGEL,0.09732897166547909,0,0.8927866179153018,0.009884410419219065,0,0
ANGELA,0,0,0,1,0,0
ANGELES,0,0,1,0,0,0
ANGELI,0,0,1,0,0,0
ANGELICA,0,0,0.989049819802618,0.010950180197381941,0,0
ANGELITO,0,0,1,0,0,0
ANGELLA,0,0,0,1,0,0
ANGELO,0.0677538244033893,0,0.9322461755966107,0,0,0
ANGI,0,0,0,1,0,0
ANGLE,1,0,0,0,0,0
ANGRY,0,1,0,0,0,0
ANH,0,0,0,0,0,1
ANI,0,1,0,0,0,0
ANICETO,0,0,1,0,0,0
ANIDO,0,0,1,0,0,0
ANIL,1,0,0,0,0,0
ANIMA,1,0,0,0,0,0
ANIS,1,0,0,0,0,0
ANISH,1,0,0,0,0,0
ANITA,1,0,0,0,0,0
ANJAIAH,1,0,0,0,0,0
ANJO,0,0,0,1,0,0
ANJUM,1,0,0,0,0,0
ANKOLA,1,0,0,0,0,0
ANMA,0,0,0,1,0,0
ANN,0.17372348847735886,0,0.7967720354799541,0.008821393209981555,0.02068308283270539,0
ANNA,0.6416171132066018,0,0,0.3583828867933983,0,0
ANNAKA,0,0,0,1,0,0
ANNAM,1,0,0,0,0,0
ANNAMALAI,1,0,0,0,0,0
ANNAN,1,0,0,0,0,0
ANNE,0,0,0.7949711241768986,0,0,0.2050288758231014
ANNEN,0,0,0,1,0,0
ANNETTE,0,0,0,1,0,0
ANNO,0,0,0,1,0,0
ANO,0,0,0.9003216600811648,0.09967833991883521,0,0
ANON,0,0,0,1,0,0
ANONUEVO,0,0,1,0,0,0
ANONYMOUS,0,0,0,1,0,0
ANRAKU,0,0,0,1,0,0
ANSAR,1,0,0,0,0,0
ANSARI,1,0,0,0,0,0
